cg1	cg2	cg3	cg4	cg5	cg6	cg7	cg8	cg9	cg10	cg11	cg12	cg13	cg14	cg15	cg16	cg17	cg18	cg19	cg20	cg21	cg22	cg23	cg24	cg25	cg26	cg27	cg28	cg29	cg30	cg31	cg32	cg33	cg34	cg35	cg36	cg37	cg38	cg39	cg40	cg41	cg42	cg43	cg44	cg45	cg46	cg47	cg48	cg49	cg50	cg51	cg52	cg53	cg54	cg55	cg56	cg57	cg58	cg59	cg60	cg61	cg62	cg63	cg64	cg65	cg66	cg67	cg68	cg69	cg70	cg71	cg72	cg73	cg74	cg75	cg76	cg77	cg78	cg79	cg80	cg81	cg82	cg83	cg84	cg85	cg86	cg87	cg88	cg89	cg90	cg91	cg92	cg93	cg94	cg95	cg96	cg97	cg98	cg99	cg100	cg101	cg102	cg103	cg104	cg105	cg106	cg107	cg108	cg109	cg110	cg111	cg112	cg113	cg114	cg115	cg116	cg117	cg118	cg119	cg120	cg121	cg122	cg123	cg124	cg125	cg126	cg127	cg128	cg129	cg130	cg131	cg132	cg133	cg134	cg135	cg136	cg137	cg138	cg139	cg140	cg141	cg142	cg143	cg144	cg145	cg146	cg147	cg148	cg149	cg150	cg151	cg152	cg153	cg154	cg155	cg156	cg157	cg158	cg159	cg160	cg161	cg162	cg163	cg164	cg165	cg166	cg167	cg168	cg169	cg170	cg171	cg172	cg173	cg174	cg175	cg176	cg177	cg178	cg179	cg180	cg181	cg182	cg183	cg184	cg185	cg186	cg187	cg188	cg189	cg190	cg191	cg192	cg193	cg194	cg195	cg196	cg197	cg198	cg199	cg200
0.8639354	0.2751007	0.7867708	0.906431	0.2373298	0.0329168	0.7366861	0.90963	0.7887538	0.8412266	0.07314063	0.04263376	0.8675569	0.7126059	0.9125853	0.873369	0.5592073	0.04782498	0.90828	0.9384122	0.8053917	0.896397	0.5582512	0.8149766	0.343944	0.8777037	0.1324388	0.8424569	0.179796	0.8628352	0.04650174	0.04635008	0.03434456	0.05886702	0.8146536	0.8515757	0.8452481	0.03968915	0.8611673	0.03491417	0.9583687	0.8435031	0.2542714	0.6322799	0.06729223	0.7663584	0.4775678	0.04499682	0.04906798	0.3831997	0.05769052	0.08785574	0.8330395	0.8558146	0.5075383	0.2033512	0.1948834	0.9832229	0.9035392	0.9784377	0.9185137	0.9691163	0.7229713	0.6376744	0.8309926	0.8239625	0.6086468	0.9458656	0.01281174	0.7175512	0.7418811	0.7778801	0.9010369	0.9084618	0.8086432	0.8007545	0.8618591	0.07708454	0.1416863	0.4134771	0.8573161	0.07440951	0.05559212	0.05980583	0.0917239	0.08622296	0.09843536	0.9903898	0.9148543	0.04780517	0.02306658	0.04430308	0.8695173	0.07850887	0.05178446	0.04388715	0.6753347	0.952559	0.5867614	0.05689795	0.06877828	0.07576913	0.4569122	0.09164911	0.925887	0.7969956	0.9757397	0.890317	0.01939585	0.8638337	0.9228141	0.01535088	0.9061555	0.9012999	0.9367865	0.08655871	0.2954237	0.9212598	0.7823731	0.02410133	0.04149495	0.9533216	0.4845308	0.1975448	0.8477067	0.8536702	0.09128815	0.7198685	0.04041295	0.8617713	0.08265855	0.8762479	0.845199	0.05646524	0.9103784	0.8429326	0.0667918	0.9214429	0.1219639	0.4974136	0.0608338	0.01866861	0.910886	0.6627715	0.7236536	0.8742863	0.6989656	0.07159842	0.0629601	0.8290874	0.1129458	0.8476985	0.6179078	0.9270848	0.03408008	0.8541254	0.9328107	0.8878565	0.8463965	0.8798869	0.7613961	0.4934163	0.00575374	0.7120031	0.9045153	0.7836085	0.5544514	0.6462852	0.8653266	0.0516807	0.03005284	0.6602967	0.05768127	0.06276218	0.9615671	0.1017011	0.7731334	0.8225784	0.05701435	0.05315247	0.2064773	0.05860375	0.1408323	0.1457277	0.8766826	0.2891514	0.1048899	0.02550591	0.3324208	0.6029686	0.1633934	0.9396471	0.8620596	0.8784343	0.962942	0.6235604	0.04580499	0.238287	0.8116356	0.942275
0.7712834	0.3464074	0.7643643	0.8921659	0.2964312	0.05065863	0.6047756	0.8910234	0.7663482	0.7933174	0.1007346	0.0536715	0.8411868	0.7966617	0.9531395	0.8496891	0.8045534	0.07195507	0.9266386	0.9287851	0.8311628	0.8826406	0.6676278	0.8164286	0.4819801	0.8866305	0.3135961	0.8532889	0.1615349	0.8210734	0.1020066	0.04688142	0.08751171	0.05847051	0.6563101	0.8332033	0.7434906	0.05198616	0.7603332	0.03892368	0.8759931	0.8044929	0.2816364	0.7065705	0.07100643	0.8763962	0.8122033	0.04616849	0.06859253	0.8564044	0.07020484	0.1054477	0.7986702	0.8757389	0.508136	0.3157684	0.6088175	0.9772462	0.9056866	0.9874811	0.933799	0.9387636	0.6611249	0.5605111	0.8879616	0.7220098	0.6746988	0.9181029	0.01275353	0.7226596	0.7259979	0.8558474	0.9226236	0.9041771	0.8192308	0.8787626	0.858526	0.09396141	0.1235312	0.477585	0.8569607	0.07263526	0.129778	0.06951027	0.1551244	0.1196352	0.1071389	0.9894881	0.9018359	0.06115982	0.02590003	0.05416154	0.8598292	0.1154646	0.03916186	0.08214138	0.7591644	0.9621297	0.6550051	0.06022426	0.1115726	0.06483735	0.6998312	0.1480135	0.9777279	0.7725753	0.964233	0.9140642	0.01874747	0.8788241	0.8520476	0.01708793	0.8329015	0.8933949	0.9279968	0.2779586	0.7822068	0.9263183	0.8179519	0.03513711	0.0561489	0.9499947	0.4344902	0.3430644	0.8438843	0.8414466	0.1079243	0.7059987	0.128009	0.8159326	0.1969592	0.8213075	0.8735148	0.05391785	0.8835201	0.8599486	0.05970621	0.8819996	0.3205842	0.4846882	0.06719343	0.01580686	0.8868778	0.1481292	0.6844059	0.8916153	0.6132984	0.05995671	0.09837173	0.8257115	0.1335041	0.7860326	0.773115	0.9218942	0.03567141	0.8635344	0.9399492	0.86853	0.8487291	0.8161152	0.7509038	0.591149	0.01912459	0.8196257	0.8934562	0.7618951	0.6097981	0.6902391	0.8338658	0.04682128	0.05130785	0.764285	0.04769908	0.0829362	0.9508741	0.1792233	0.8873841	0.8376369	0.05041	0.06045185	0.5178351	0.102532	0.2083652	0.2439294	0.8398619	0.2398325	0.1915866	0.05038977	0.3318568	0.6397726	0.1097502	0.9275759	0.8136492	0.8849146	0.9578015	0.7269992	0.1420819	0.6454644	0.7789203	0.8834008
0.8206046	0.3669972	0.8062093	0.9058715	0.2572612	0.06204295	0.6883842	0.9061523	0.8180578	0.8774132	0.1101369	0.06660499	0.8918073	0.8766043	0.9571854	0.8829505	0.6968966	0.06868199	0.9285848	0.9462481	0.8561962	0.8833128	0.6769894	0.8611476	0.5043327	0.8950119	0.3556932	0.8584305	0.222346	0.8448007	0.09986485	0.06462801	0.08992154	0.08673394	0.7903212	0.8723351	0.8287607	0.05207738	0.8538036	0.04818408	0.9072646	0.8493578	0.2775932	0.7319312	0.09277182	0.8724272	0.8442291	0.04988724	0.07044877	0.8644938	0.09071788	0.212641	0.8550137	0.8791179	0.5753816	0.246294	0.575384	0.9834557	0.9237089	0.9620253	0.9231228	0.9405831	0.73251	0.6706657	0.871816	0.811519	0.6697941	0.9192304	0.03395774	0.7607788	0.6999689	0.8284495	0.9214724	0.9184693	0.8633683	0.9003497	0.8841864	0.100483	0.1613268	0.4302268	0.8542598	0.08826231	0.1378981	0.09749413	0.1625068	0.1089732	0.1330342	0.9849937	0.9124668	0.06458686	0.04817312	0.0715402	0.8902361	0.1318288	0.06899626	0.08027546	0.7905251	0.9463746	0.8018529	0.06588785	0.1032712	0.08296943	0.6813229	0.1627453	0.9770294	0.8368294	0.9619075	0.9403651	0.031729	0.8371273	0.8843426	0.02092871	0.8737769	0.9156972	0.9284301	0.2712495	0.843797	0.923398	0.8557429	0.0464222	0.05784048	0.9507366	0.4393067	0.360344	0.8507999	0.8745435	0.1325283	0.7755179	0.1171875	0.8709624	0.2294796	0.8652435	0.8811836	0.07387821	0.936811	0.8701157	0.09573424	0.9146771	0.3082056	0.5643419	0.09357983	0.02793256	0.9120739	0.1876209	0.7399978	0.8785974	0.6865515	0.08597492	0.1173011	0.8520432	0.1506688	0.8616617	0.582615	0.9348617	0.04895303	0.8710678	0.8870825	0.8625302	0.872	0.8633506	0.8083736	0.4889887	0.01716704	0.8408597	0.9162893	0.8179971	0.6452896	0.7425938	0.8582456	0.04083655	0.06019449	0.7971235	0.0626	0.07399749	0.9482541	0.1837832	0.8777385	0.8377792	0.07108753	0.07704544	0.5538743	0.1342361	0.203927	0.3092074	0.8608719	0.2581605	0.2015474	0.04171823	0.3948126	0.6839108	0.1373054	0.9313856	0.8135731	0.8746988	0.95186483	0.7080302	0.1565969	0.6424192	0.8073238	0.8813179
0.8239884	0.349254	0.7976017	0.9055347	0.2645942	0.06998235	0.6862397	0.9139583	0.8026726	0.8505366	0.1031335	0.06450421	0.8747473	0.8467565	0.9368526	0.8703973	0.8408514	0.08507434	0.9133141	0.9212998	0.8636916	0.9065536	0.7240392	0.8622155	0.4604294	0.910105	0.3468029	0.874947	0.2919713	0.8425053	0.09225266	0.05563841	0.06184687	0.07229599	0.7785755	0.8570411	0.7867938	0.07279276	0.7917678	0.05287932	0.9155091	0.8608441	0.2938994	0.7432989	0.0640581	0.8482537	0.8326579	0.02441898	0.07602468	0.7657678	0.07022901	0.1632925	0.7811538	0.8797828	0.612059	0.2185887	0.5313874	0.9795181	0.9263891	0.9842638	0.9160671	0.9435621	0.7358358	0.6187146	0.8775656	0.7590135	0.5994572	0.8945739	0.03022502	0.7065364	0.7631175	0.8242825	0.8911381	0.8911882	0.8566507	0.8744866	0.876137	0.09068832	0.1407728	0.4156256	0.855515	0.1020661	0.09545133	0.07611241	0.1501443	0.08746846	0.1222236	0.9882466	0.8910022	0.06884817	0.02992645	0.05524805	0.8950354	0.09054768	0.05480335	0.07909389	0.7617515	0.9674821	0.6502628	0.0771663	0.115753	0.06525286	0.6260911	0.145762	0.9805885	0.7933229	0.9602688	0.9052348	0.03252731	0.8676755	0.8767204	0.01571164	0.8595884	0.897184	0.9473282	0.2083305	0.7988409	0.9243587	0.8130922	0.04029255	0.04015285	0.9542593	0.5820154	0.3324591	0.8623035	0.8717839	0.08905717	0.743481	0.1285494	0.8368506	0.198459	0.8505009	0.8948604	0.0505736	0.9183369	0.8522405	0.09617301	0.9072941	0.2607045	0.5659246	0.08387943	0.01813244	0.8984771	0.2179287	0.7440403	0.896	0.6626929	0.05355683	0.06580532	0.8299114	0.1529246	0.8258494	0.7610041	0.9319565	0.03441374	0.8494942	0.9118636	0.8751597	0.8699297	0.8436406	0.8091524	0.5521551	0.02511828	0.8012985	0.8950034	0.7919571	0.6525504	0.6941946	0.8504387	0.05211418	0.04870242	0.7658636	0.04889916	0.07342186	0.9549134	0.152646	0.8670572	0.8422033	0.04934928	0.07478658	0.5242021	0.0942006	0.176897	0.1925821	0.860117	0.3003264	0.1946891	0.04031967	0.3624533	0.6489791	0.1239502	0.9409491	0.8173507	0.8735005	0.9622845	0.7826936	0.145801	0.6373005	0.8122446	0.8493233
0.8408745	0.3490776	0.8395432	0.9246526	0.2689231	0.05208428	0.7572024	0.9340228	0.7736375	0.8401084	0.09639046	0.05312085	0.8482857	0.8545825	0.9225827	0.8537785	0.8100973	0.0533631	0.9025522	0.9369819	0.8546544	0.8964606	0.6662251	0.8712707	0.3624291	0.9023236	0.1829704	0.8831242	0.3085757	0.8413035	0.06150687	0.04726031	0.04022855	0.05283434	0.7980474	0.8520173	0.8271269	0.06692145	0.8371279	0.04819503	0.9418383	0.8652623	0.2487916	0.6251842	0.06424581	0.8043005	0.5456458	0.03528851	0.06588959	0.4359619	0.07332581	0.1361354	0.859164	0.9096255	0.5612129	0.2301114	0.3482169	0.983502	0.9205416	0.9729927	0.9498521	0.9504226	0.7663649	0.6698452	0.8575036	0.8158836	0.6566663	0.9147598	0.02099468	0.7304493	0.6754798	0.8376303	0.9085855	0.9237542	0.8508826	0.8653455	0.9008592	0.09159347	0.1503238	0.4625669	0.8667156	0.07339606	0.06643658	0.07005053	0.09382448	0.1098379	0.112145	0.9905596	0.9349852	0.06468552	0.03893381	0.04489627	0.903277	0.09189073	0.06195164	0.07739734	0.7613077	0.9448469	0.7898819	0.05417669	0.09104938	0.05277837	0.500923	0.1108662	0.8756391	0.8305085	0.9683194	0.9073802	0.0228308	0.895058	0.9030775	0.01727092	0.8809886	0.9202121	0.9464533	0.1763486	0.4190934	0.9255126	0.819643	0.03050374	0.03274614	0.9493279	0.5123731	0.2296924	0.8583339	0.8894136	0.1079812	0.7590026	0.0738759	0.8866866	0.1336993	0.8741474	0.91321	0.06364331	0.9214687	0.846163	0.06747731	0.9036249	0.1684426	0.5048732	0.06113392	0.02492949	0.9133574	0.6222693	0.7906708	0.9196799	0.7226186	0.1036205	0.07042145	0.8746181	0.1326238	0.8563181	0.7188709	0.9282488	0.04321166	0.7917519	0.921352	0.8716112	0.8721309	0.8842754	0.8087465	0.553577	0.0255687	0.7736382	0.9150082	0.8108031	0.6372324	0.6969967	0.8540444	0.04843592	0.0407911	0.7314267	0.06325984	0.07763465	0.9651433	0.1518345	0.8309895	0.8149269	0.04407958	0.05874856	0.3148976	0.1055924	0.1362987	0.188578	0.8763788	0.2264594	0.1316025	0.03458213	0.4444695	0.6928062	0.2066472	0.9230522	0.8806234	0.8984421	0.9652332	0.6405624	0.06365355	0.3959199	0.8139806	0.9033162
0.7400545	0.3644974	0.7979073	0.8772469	0.3440328	0.05506914	0.5772343	0.8794715	0.7909651	0.8479479	0.0912668	0.04906836	0.7901371	0.8117987	0.9210858	0.8675813	0.6829349	0.08675875	0.8793305	0.9413604	0.8425035	0.8836981	0.7216898	0.8552377	0.4579289	0.8895176	0.2641074	0.8719117	0.2668891	0.7454754	0.1297038	0.0511678	0.06608842	0.0870164	0.7328064	0.779969	0.7151882	0.04988047	0.7496083	0.04321541	0.8558559	0.8218454	0.3223279	0.727788	0.06872852	0.8575714	0.7413148	0.0416424	0.0648808	0.7795453	0.07968553	0.1506307	0.7683733	0.862175	0.4857698	0.2734067	0.5673553	0.9738554	0.9	0.9641259	0.9150893	0.9478781	0.6171911	0.5675856	0.8779626	0.6722416	0.6617112	0.9075226	0.03563358	0.6826764	0.7312443	0.7766996	0.9073471	0.8968248	0.8601195	0.8722037	0.8963069	0.08663331	0.1348895	0.4006091	0.8350828	0.07119319	0.09474672	0.05929028	0.152892	0.1122934	0.117582	0.9841352	0.8770127	0.05769977	0.03876835	0.07788211	0.8925215	0.1083822	0.06972774	0.0970998	0.7828076	0.9432773	0.6280251	0.06423893	0.1148081	0.07802117	0.6996772	0.1661394	0.9597899	0.7577814	0.9456877	0.8867623	0.02708667	0.8870056	0.8332984	0.01842029	0.7958609	0.9057226	0.9126133	0.2349249	0.7547753	0.9014499	0.8557699	0.0581288	0.04537581	0.9283701	0.4406007	0.3584609	0.8600281	0.8403515	0.1092322	0.760654	0.09016965	0.7935611	0.1922196	0.8487921	0.8573455	0.05674349	0.9105759	0.8303682	0.07125875	0.8879596	0.2610148	0.6002645	0.07318115	0.02227966	0.8810948	0.2567783	0.7161088	0.8504474	0.6436014	0.08162868	0.06905967	0.810433	0.1322664	0.8100771	0.4534288	0.9103191	0.04468141	0.7895656	0.9154091	0.8319342	0.8638808	0.8388844	0.7887313	0.5541859	0.029301	0.7905039	0.9183794	0.7242812	0.6686248	0.7446529	0.8309859	0.03853013	0.04052901	0.6888164	0.0826779	0.09700618	0.94306	0.1806702	0.8492106	0.8378407	0.07012234	0.06046424	0.5262126	0.09102651	0.1629445	0.2864871	0.8448404	0.2491052	0.2001032	0.05887654	0.3649374	0.6653633	0.1324838	0.9197723	0.8020142	0.8838741	0.9616233	0.7286991	0.1271763	0.6429868	0.7839531	0.8904888
0.8668672	0.3585747	0.8435971	0.9193919	0.2501392	0.05950696	0.7068565	0.911795	0.8223693	0.8662276	0.1083928	0.06512342	0.9088301	0.8999835	0.9477273	0.8743037	0.8576742	0.04856091	0.9272411	0.9423299	0.8600605	0.9069709	0.7117371	0.8678783	0.449353	0.9043986	0.3023591	0.8874994	0.2598169	0.8555633	0.1097002	0.05596335	0.0671148	0.06052181	0.7807056	0.848823	0.8092533	0.06648356	0.8174416	0.03371173	0.9070007	0.8725525	0.2773052	0.7277292	0.1013925	0.8473325	0.7995197	0.03518749	0.07462302	0.7345935	0.07190748	0.1542717	0.8149987	0.8993704	0.5788603	0.2760305	0.5163808	0.9823191	0.9522077	0.9743951	0.953475	0.970651	0.7443905	0.6329588	0.8814042	0.7583666	0.7081663	0.9021625	0.02202678	0.7252372	0.7353286	0.8386454	0.9389277	0.9308748	0.89641	0.8909901	0.9152574	0.07725369	0.1596859	0.5400271	0.8673912	0.09043411	0.08484755	0.06385213	0.1670666	0.1079454	0.1279409	0.9911408	0.9262816	0.05531539	0.03178307	0.06215867	0.8730505	0.09582713	0.06525456	0.08969504	0.7643331	0.9513991	0.811961	0.06880459	0.1127124	0.04744168	0.6837961	0.1590374	0.9746878	0.8406914	0.9674968	0.9169573	0.01780002	0.8868	0.8729315	0.01450732	0.8697115	0.927343	0.9269365	0.2408354	0.7886267	0.9282974	0.8672767	0.04328259	0.0320197	0.9771858	0.6224028	0.3431251	0.8805477	0.8970001	0.1217485	0.744438	0.1506604	0.865203	0.1893137	0.8883899	0.8532169	0.06676967	0.9208412	0.8655387	0.08023681	0.9330582	0.275062	0.5548795	0.07633179	0.01576944	0.925	0.3525169	0.7775753	0.9085816	0.6960206	0.07757952	0.08272083	0.8469845	0.1210191	0.8597956	0.7232136	0.9443796	0.04088864	0.8647157	0.9329019	0.9001057	0.9080266	0.8808464	0.8257041	0.4765038	0.02496353	0.8122635	0.9245173	0.8021117	0.7076249	0.6964507	0.8551252	0.05093782	0.05057683	0.7909479	0.06938776	0.08352877	0.9568103	0.1558993	0.8435735	0.8645996	0.05490104	0.0733192	0.5126758	0.09918182	0.2072719	0.2149935	0.8881982	0.2260757	0.184715	0.03821795	0.4411493	0.6586544	0.1540416	0.9483556	0.7957916	0.894425	0.9569335	0.695387	0.1262207	0.6174982	0.8033714	0.9488195
0.8163812	0.4055479	0.8072146	0.9109008	0.3281848	0.07220791	0.6702789	0.9278249	0.8192272	0.8436155	0.09955817	0.06544844	0.8225402	0.8425092	0.936641	0.8741024	0.7574976	0.06332206	0.9153998	0.9356831	0.8464408	0.8970533	0.7449983	0.8647266	0.4675452	0.9065027	0.354398	0.8569251	0.2699055	0.8366783	0.09436008	0.06265592	0.06892273	0.05379396	0.7596286	0.8576656	0.7936354	0.07718988	0.8016956	0.04934998	0.8792245	0.8569083	0.2948933	0.6616431	0.1066505	0.8622807	0.838255	0.02929405	0.08038457	0.8118944	0.09362646	0.1662898	0.8266568	0.8853549	0.6182854	0.2783251	0.6459663	0.977692	0.9232441	0.9760563	0.9267355	0.9395886	0.7239735	0.6109626	0.8794637	0.7901067	0.6786835	0.9191535	0.01839777	0.751669	0.7529993	0.8630399	0.9235417	0.9082969	0.8793389	0.895762	0.9160903	0.1089871	0.1572645	0.4940004	0.8440478	0.1138754	0.1316803	0.09494773	0.1741491	0.132841	0.1345907	0.9899496	0.9073755	0.0858013	0.02339663	0.06771435	0.9070715	0.1286455	0.07351434	0.1012732	0.8032326	0.9319645	0.7000256	0.06955283	0.1214062	0.03063502	0.7026498	0.1596785	0.9664881	0.8163881	0.9645675	0.9034207	0.04116314	0.8920047	0.8870238	0.01607315	0.8632023	0.9302387	0.9239817	0.2605263	0.8141948	0.9300974	0.8687545	0.03953768	0.06370778	0.9018995	0.5786108	0.5028684	0.8635276	0.8853469	0.1420533	0.7358424	0.1247437	0.8549928	0.2467913	0.8647052	0.864539	0.07530276	0.9243063	0.8552065	0.07671434	0.9065196	0.3522585	0.5687809	0.09432612	0.01951835	0.9153609	0.2640269	0.7723753	0.9311134	0.6594526	0.07761662	0.09988023	0.8558279	0.1414759	0.8472143	0.8185155	0.9409632	0.0410062	0.8520436	0.9253255	0.8768994	0.882971	0.8507853	0.8294652	0.5705314	0.02477648	0.8390711	0.9097378	0.8079043	0.6860158	0.7571726	0.8660387	0.04642571	0.06265081	0.7911505	0.0700637	0.05947471	0.9508533	0.1833478	0.8710226	0.8298611	0.06775939	0.090464	0.5644122	0.09438264	0.2237573	0.2538531	0.8635768	0.2669099	0.1985013	0.0542113	0.4689009	0.7269436	0.1592655	0.9446954	0.8397722	0.9004226	0.9480103	0.6508758	0.1798118	0.6697266	0.815354	0.9335111
0.8317497	0.34917	0.8108474	0.9045024	0.2459355	0.04063403	0.672766	0.9057396	0.8027034	0.8268898	0.07904633	0.04316496	0.8780947	0.9298453	0.9333652	0.8412682	0.5098245	0.04269196	0.9189914	0.9382223	0.8434415	0.8945725	0.7094101	0.853649	0.4199556	0.8863918	0.2930194	0.8545528	0.1872105	0.8749053	0.06090111	0.0421316	0.07897322	0.07273534	0.7682617	0.8856289	0.8258929	0.06281526	0.8602222	0.03074159	0.8999224	0.8382681	0.2589683	0.7407202	0.06590144	0.8802032	0.7935967	0.03571064	0.06784547	0.923404	0.05769231	0.162316	0.8687745	0.8676592	0.5511096	0.2274446	0.4937005	0.9724008	0.9335652	0.9695726	0.929944	0.916531	0.7331954	0.6214011	0.8858559	0.7807667	0.6077043	0.9162208	0.01720254	0.6898433	0.6615804	0.8081192	0.9309514	0.9085928	0.8835707	0.879661	0.8837282	0.08213991	0.1408532	0.3897969	0.8938611	0.08511384	0.08957194	0.03888149	0.1313934	0.1010138	0.1240966	0.9837841	0.9158657	0.05905006	0.05080517	0.06841393	0.8830677	0.09079921	0.05344381	0.06340493	0.7900456	0.9310188	0.7140822	0.04972046	0.09149976	0.03552207	0.6572415	0.1217982	0.9601058	0.8628023	0.964435	0.9281871	0.02953408	0.8067254	0.9017482	0.02036112	0.8839419	0.9044687	0.9543766	0.1933062	0.8615182	0.9296566	0.8597385	0.02335274	0.03298275	0.9332762	0.5003504	0.4890982	0.8295614	0.8796732	0.08967754	0.7157336	0.146512	0.8702961	0.1754424	0.8959628	0.8918919	0.06020454	0.933159	0.8705196	0.05921534	0.9123194	0.2854426	0.4987532	0.07043118	0.0139677	0.8958662	0.1251143	0.7377414	0.9130677	0.6688049	0.07981581	0.06336275	0.8662182	0.1465353	0.8602901	0.7103642	0.9287164	0.02826116	0.8897111	0.9238508	0.8531012	0.8666927	0.8775691	0.7981329	0.4523911	0.01888021	0.8424903	0.9075994	0.8618334	0.6337702	0.7269302	0.8659517	0.05373535	0.0362368	0.7541305	0.06219387	0.06591598	0.9509349	0.1133438	0.8525288	0.8152055	0.0683487	0.05140249	0.4766165	0.07319191	0.1827534	0.19333	0.8436823	0.1654454	0.2044044	0.04030609	0.3796078	0.6351531	0.1110694	0.9232783	0.7991056	0.8479847	0.9632985	0.6659012	0.1058321	0.555154	0.8358296	0.824124
0.6795259	0.3953867	0.7594963	0.8824484	0.325052	0.05605772	0.4665555	0.9136029	0.7497636	0.8419585	0.1000059	0.04828511	0.7474605	0.8649122	0.9219791	0.8699328	0.6522601	0.05599406	0.9008011	0.9304585	0.8472266	0.8781449	0.751257	0.8231131	0.4744729	0.886879	0.262065	0.8250611	0.2573107	0.7571051	0.1322809	0.04729107	0.07114737	0.07044548	0.6158376	0.8006165	0.65625	0.06020042	0.6236362	0.0415496	0.7132267	0.7906966	0.2849691	0.7230236	0.0610119	0.8435374	0.8198668	0.04227235	0.05516489	0.8666876	0.06475133	0.08690447	0.6929148	0.8821626	0.5459987	0.2737101	0.6521528	0.9781372	0.9124213	0.9790998	0.9179221	0.9514742	0.5536932	0.4911798	0.8523735	0.6489447	0.6821383	0.8981195	0.02029794	0.6920993	0.6587778	0.8270878	0.9247628	0.9089084	0.8680035	0.8808622	0.8974372	0.08187616	0.1071765	0.330812	0.8361421	0.09269553	0.1085548	0.05411815	0.1740602	0.1232652	0.1040274	0.9882817	0.8994954	0.04991783	0.03536607	0.0456788	0.8891239	0.1145057	0.07138874	0.1296867	0.7544179	0.9346946	0.6247305	0.07499841	0.1284639	0.04747891	0.761015	0.1739912	0.9464865	0.6877016	0.9575192	0.8792238	0.02426166	0.8551943	0.8319288	0.006403083	0.7838343	0.9049344	0.907195	0.2478319	0.8249598	0.9361414	0.8420712	0.02891755	0.04150737	0.9673841	0.6058488	0.3707837	0.8446191	0.8602907	0.1350833	0.6394111	0.1015184	0.8108613	0.1963182	0.7757441	0.9137691	0.070057	0.8980645	0.7849389	0.08095764	0.8962157	0.1850068	0.4683703	0.07402597	0.01291377	0.8911196	0.1533933	0.7629451	0.9122161	0.6172178	0.07082205	0.08486146	0.7665756	0.1364267	0.8010141	0.7665956	0.9040454	0.02974828	0.7690388	0.9328517	0.8660994	0.8675655	0.8557667	0.7754759	0.5536671	0.02451678	0.8129974	0.8881872	0.6944066	0.7116368	0.7123654	0.8384397	0.03893696	0.03528794	0.7340249	0.04673771	0.101907	0.9395044	0.2115639	0.7975816	0.8023414	0.05176929	0.06732074	0.5998451	0.1487481	0.2155693	0.269139	0.7988101	0.3259633	0.1764706	0.0741301	0.3663057	0.7114733	0.1502812	0.9325742	0.8157833	0.8777485	0.9571524	0.8273646	0.1233994	0.6758764	0.7173572	0.828
